"File","SampleRate","Channels","Layout"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ac.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\and.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\and2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\as.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\aspec.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\at.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\b.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\below.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\bs.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\bt.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\c.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\c1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\c2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\c3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\c4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\cd1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\cd2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\cf.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\cn.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\d1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\d2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\d3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\d4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\db.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\deathmatch.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\dps.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\dsps.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\enr.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\ens.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\es.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\f1.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\f2.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\f3.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\f4.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\f5.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\f6.wav","44100","2","unknown"
"D:\Three-D-Velocity\TDV\Three-D-Velocity-Binaries\s\n\feet.wav","44100","2","unknown"
